provider,region,pricing_model,vcpu,ram_gb,price_per_hour
AWS,europe,1yr-reserved,1,4,0.136635
AWS,europe,1yr-reserved,1,8,0.15542
AWS,europe,1yr-reserved,1,16,0.189645
AWS,europe,1yr-reserved,2,2,0.161875
AWS,europe,1yr-reserved,2,4,0.174095
AWS,europe,1yr-reserved,2,8,0.18916
AWS,europe,1yr-reserved,2,16,0.227235
AWS,europe,1yr-reserved,2,32,0.30256
AWS,europe,1yr-reserved,4,4,0.2490699999999999
AWS,europe,1yr-reserved,4,8,0.26685
AWS,europe,1yr-reserved,4,16,0.30681
AWS,europe,1yr-reserved,4,32,0.37445
AWS,europe,1yr-reserved,4,64,0.5204150000000001
AWS,europe,1yr-reserved,8,8,0.418325
AWS,europe,1yr-reserved,8,16,0.4600399999999999
AWS,europe,1yr-reserved,8,32,0.535695
AWS,europe,1yr-reserved,8,64,0.6762400000000001
AWS,europe,1yr-reserved,8,128,0.95752
AWS,europe,1yr-reserved,16,16,0.729965
AWS,europe,1yr-reserved,16,32,0.8118700000000001
AWS,europe,1yr-reserved,16,64,0.97092
AWS,europe,1yr-reserved,16,128,1.250855
AWS,europe,1yr-reserved,32,32,1.395875
AWS,europe,1yr-reserved,32,64,1.57727
AWS,europe,1yr-reserved,32,128,1.88605
AWS,europe,3yr-reserved,1,2,0.115955
AWS,europe,3yr-reserved,1,4,0.12265
AWS,europe,3yr-reserved,1,8,0.14181
AWS,europe,3yr-reserved,1,16,0.17694
AWS,europe,3yr-reserved,2,2,0.150745
AWS,europe,3yr-reserved,2,4,0.154335
AWS,europe,3yr-reserved,2,8,0.178835
AWS,europe,3yr-reserved,2,16,0.20809
AWS,europe,3yr-reserved,2,32,0.272115
AWS,europe,3yr-reserved,4,4,0.22002
AWS,europe,3yr-reserved,4,8,0.23633
AWS,europe,3yr-reserved,4,16,0.27375
AWS,europe,3yr-reserved,4,32,0.3422699999999999
AWS,europe,3yr-reserved,4,64,0.45702
AWS,europe,3yr-reserved,8,8,0.37666
AWS,europe,3yr-reserved,8,16,0.41213
AWS,europe,3yr-reserved,8,32,0.480215
AWS,europe,3yr-reserved,8,64,0.61632
AWS,europe,3yr-reserved,8,128,0.8754500000000001
AWS,europe,3yr-reserved,16,16,0.673975
AWS,europe,3yr-reserved,16,32,0.738975
AWS,europe,3yr-reserved,16,64,0.8730399999999999
AWS,europe,3yr-reserved,16,128,1.096095
AWS,europe,3yr-reserved,32,32,1.29159
AWS,europe,3yr-reserved,32,64,1.414785
AWS,europe,3yr-reserved,32,128,1.691405
AWS,europe,on-demand,1,2,0.14175
AWS,europe,on-demand,1,4,0.15148
AWS,europe,on-demand,1,8,0.17365
AWS,europe,on-demand,1,16,0.21147
AWS,europe,on-demand,2,2,0.182395
AWS,europe,on-demand,2,4,0.1907
AWS,europe,on-demand,2,8,0.2129
AWS,europe,on-demand,2,16,0.25378
AWS,europe,on-demand,2,32,0.339605
AWS,europe,on-demand,4,4,0.27766
AWS,europe,on-demand,4,8,0.297865
AWS,europe,on-demand,4,16,0.332585
AWS,europe,on-demand,4,32,0.42027
AWS,europe,on-demand,4,64,0.58316
AWS,europe,on-demand,8,8,0.46014
AWS,europe,on-demand,8,16,0.5016700000000001
AWS,europe,on-demand,8,32,0.58262
AWS,europe,on-demand,8,64,0.74783
AWS,europe,on-demand,8,128,1.07411
AWS,europe,on-demand,16,16,0.8296300000000001
AWS,europe,on-demand,16,32,0.91475
AWS,europe,on-demand,16,64,1.074815
AWS,europe,on-demand,16,128,1.40571
AWS,europe,on-demand,32,32,1.567365
AWS,europe,on-demand,32,64,1.741085
AWS,europe,on-demand,32,128,2.06964
AWS,europe,spot,1,2,0.09625
AWS,europe,spot,1,4,0.106285
AWS,europe,spot,1,8,0.1276149999999999
AWS,europe,spot,1,16,0.14722
AWS,europe,spot,2,2,0.133195
AWS,europe,spot,2,4,0.131605
AWS,europe,spot,2,8,0.152935
AWS,europe,spot,2,16,0.176695
AWS,europe,spot,2,32,0.230935
AWS,europe,spot,4,4,0.19955
AWS,europe,spot,4,8,0.19857
AWS,europe,spot,4,16,0.240235
AWS,europe,spot,4,32,0.30055
AWS,europe,spot,4,64,0.4196
AWS,europe,spot,8,8,0.315015
AWS,europe,spot,8,16,0.346805
AWS,europe,spot,8,32,0.4095749999999999
AWS,europe,spot,8,64,0.5225799999999999
AWS,europe,spot,8,128,0.755155
AWS,europe,spot,16,16,0.5860299999999999
AWS,europe,spot,16,32,0.671075
AWS,europe,spot,16,64,0.773575
AWS,europe,spot,16,128,0.97976
AWS,europe,spot,32,32,1.093195
AWS,europe,spot,32,64,1.27208
AWS,europe,spot,32,128,1.5209
AWS,us-east,1yr-reserved,1,2,0.1097699999999999
AWS,us-east,1yr-reserved,1,4,0.121225
AWS,us-east,1yr-reserved,1,8,0.140385
AWS,us-east,1yr-reserved,1,16,0.17307
AWS,us-east,1yr-reserved,2,2,0.146125
AWS,us-east,1yr-reserved,2,4,0.15359
AWS,us-east,1yr-reserved,2,8,0.16829
AWS,us-east,1yr-reserved,2,16,0.2103749999999999
AWS,us-east,1yr-reserved,2,32,0.269075
AWS,us-east,1yr-reserved,4,4,0.2172
AWS,us-east,1yr-reserved,4,8,0.23527
AWS,us-east,1yr-reserved,4,16,0.27015
AWS,us-east,1yr-reserved,4,32,0.33589
AWS,us-east,1yr-reserved,4,64,0.471545
AWS,us-east,1yr-reserved,8,8,0.3618599999999999
AWS,us-east,1yr-reserved,8,16,0.39209
AWS,us-east,1yr-reserved,8,32,0.46515
AWS,us-east,1yr-reserved,8,64,0.592825
AWS,us-east,1yr-reserved,8,128,0.853595
AWS,us-east,1yr-reserved,16,16,0.65608
AWS,us-east,1yr-reserved,16,32,0.748325
AWS,us-east,1yr-reserved,16,64,0.85587
AWS,us-east,1yr-reserved,16,128,1.12275
AWS,us-east,1yr-reserved,32,32,1.286
AWS,us-east,1yr-reserved,32,64,1.402365
AWS,us-east,1yr-reserved,32,128,1.674255
AWS,us-east,3yr-reserved,1,2,0.1071
AWS,us-east,3yr-reserved,1,4,0.11099
AWS,us-east,3yr-reserved,1,8,0.12376
AWS,us-east,3yr-reserved,1,16,0.15209
AWS,us-east,3yr-reserved,2,2,0.135595
AWS,us-east,3yr-reserved,2,4,0.140435
AWS,us-east,3yr-reserved,2,8,0.155895
AWS,us-east,3yr-reserved,2,16,0.18455
AWS,us-east,3yr-reserved,2,32,0.249855
AWS,us-east,3yr-reserved,4,4,0.20807
AWS,us-east,3yr-reserved,4,8,0.21536
AWS,us-east,3yr-reserved,4,16,0.2485949999999999
AWS,us-east,3yr-reserved,4,32,0.30766
AWS,us-east,3yr-reserved,4,64,0.41073
AWS,us-east,3yr-reserved,8,8,0.3335
AWS,us-east,3yr-reserved,8,16,0.36092
AWS,us-east,3yr-reserved,8,32,0.4259
AWS,us-east,3yr-reserved,8,64,0.531705
AWS,us-east,3yr-reserved,8,128,0.7803150000000001
AWS,us-east,3yr-reserved,16,16,0.625635
AWS,us-east,3yr-reserved,16,32,0.660365
AWS,us-east,3yr-reserved,16,64,0.799545
AWS,us-east,3yr-reserved,16,128,1.01166
AWS,us-east,3yr-reserved,32,32,1.135465
AWS,us-east,3yr-reserved,32,64,1.23677
AWS,us-east,3yr-reserved,32,128,1.54191
AWS,us-east,on-demand,1,2,0.1245449999999999
AWS,us-east,on-demand,1,4,0.133785
AWS,us-east,on-demand,1,8,0.1524049999999999
AWS,us-east,on-demand,1,16,0.191445
AWS,us-east,on-demand,2,2,0.162125
AWS,us-east,on-demand,2,4,0.172635
AWS,us-east,on-demand,2,8,0.19022
AWS,us-east,on-demand,2,16,0.2298049999999999
AWS,us-east,on-demand,2,32,0.303115
AWS,us-east,on-demand,4,4,0.246015
AWS,us-east,on-demand,4,8,0.26516
AWS,us-east,on-demand,4,16,0.300705
AWS,us-east,on-demand,4,32,0.372555
AWS,us-east,on-demand,4,64,0.516125
AWS,us-east,on-demand,8,8,0.411095
AWS,us-east,on-demand,8,16,0.452495
AWS,us-east,on-demand,8,32,0.5205
AWS,us-east,on-demand,8,64,0.666615
AWS,us-east,on-demand,8,128,0.968825
AWS,us-east,on-demand,16,16,0.736375
AWS,us-east,on-demand,16,32,0.817465
AWS,us-east,on-demand,16,64,0.95224
AWS,us-east,on-demand,16,128,1.2639749999999998
AWS,us-east,on-demand,32,32,1.39645
AWS,us-east,on-demand,32,64,1.557695
AWS,us-east,on-demand,32,128,1.85182
AWS,us-east,spot,1,2,0.089215
AWS,us-east,spot,1,4,0.09498
AWS,us-east,spot,1,8,0.10677
AWS,us-east,spot,1,16,0.13422
AWS,us-east,spot,2,2,0.1097899999999999
AWS,us-east,spot,2,4,0.12373
AWS,us-east,spot,2,8,0.135105
AWS,us-east,spot,2,16,0.159185
AWS,us-east,spot,2,32,0.20405
AWS,us-east,spot,4,4,0.1726
AWS,us-east,spot,4,8,0.186495
AWS,us-east,spot,4,16,0.210415
AWS,us-east,spot,4,32,0.264435
AWS,us-east,spot,4,64,0.366705
AWS,us-east,spot,8,8,0.29008
AWS,us-east,spot,8,16,0.318695
AWS,us-east,spot,8,32,0.36004
AWS,us-east,spot,8,64,0.488525
AWS,us-east,spot,8,128,0.7057450000000001
AWS,us-east,spot,16,16,0.515695
AWS,us-east,spot,16,32,0.59107
AWS,us-east,spot,16,64,0.656705
AWS,us-east,spot,16,128,0.89467
AWS,us-east,spot,32,32,1.0153
AWS,us-east,spot,32,64,1.0645099999999998
AWS,us-east,spot,32,128,1.31489
AWS,us-west,1yr-reserved,1,2,0.123995
AWS,us-west,1yr-reserved,1,4,0.12983
AWS,us-west,1yr-reserved,1,8,0.152655
AWS,us-west,1yr-reserved,1,16,0.183925
AWS,us-west,1yr-reserved,2,2,0.158635
AWS,us-west,1yr-reserved,2,4,0.1638649999999999
AWS,us-west,1yr-reserved,2,8,0.181915
AWS,us-west,1yr-reserved,2,16,0.22202
AWS,us-west,1yr-reserved,2,32,0.29336
AWS,us-west,1yr-reserved,4,4,0.2383799999999999
AWS,us-west,1yr-reserved,4,8,0.256905
AWS,us-west,1yr-reserved,4,16,0.29022
AWS,us-west,1yr-reserved,4,32,0.36626
AWS,us-west,1yr-reserved,4,64,0.50454
AWS,us-west,1yr-reserved,8,8,0.394835
AWS,us-west,1yr-reserved,8,16,0.4406299999999999
AWS,us-west,1yr-reserved,8,32,0.5183099999999999
AWS,us-west,1yr-reserved,8,64,0.648175
AWS,us-west,1yr-reserved,8,128,0.92321
AWS,us-west,1yr-reserved,16,16,0.71531
AWS,us-west,1yr-reserved,16,32,0.791515
AWS,us-west,1yr-reserved,16,64,0.947075
AWS,us-west,1yr-reserved,16,128,1.18784
AWS,us-west,1yr-reserved,32,32,1.34594
AWS,us-west,1yr-reserved,32,64,1.482755
AWS,us-west,1yr-reserved,32,128,1.80575
AWS,us-west,3yr-reserved,1,2,0.10972
AWS,us-west,3yr-reserved,1,4,0.121445
AWS,us-west,3yr-reserved,1,8,0.1415799999999999
AWS,us-west,3yr-reserved,1,16,0.16451
AWS,us-west,3yr-reserved,2,2,0.147025
AWS,us-west,3yr-reserved,2,4,0.15423
AWS,us-west,3yr-reserved,2,8,0.168165
AWS,us-west,3yr-reserved,2,16,0.2013049999999999
AWS,us-west,3yr-reserved,2,32,0.26839
AWS,us-west,3yr-reserved,4,4,0.22068
AWS,us-west,3yr-reserved,4,8,0.234885
AWS,us-west,3yr-reserved,4,16,0.2694
AWS,us-west,3yr-reserved,4,32,0.33186
AWS,us-west,3yr-reserved,4,64,0.4579049999999999
AWS,us-west,3yr-reserved,8,8,0.36436
AWS,us-west,3yr-reserved,8,16,0.40065
AWS,us-west,3yr-reserved,8,32,0.45074
AWS,us-west,3yr-reserved,8,64,0.59293
AWS,us-west,3yr-reserved,8,128,0.84322
AWS,us-west,3yr-reserved,16,16,0.6537
AWS,us-west,3yr-reserved,16,32,0.71451
AWS,us-west,3yr-reserved,16,64,0.83872
AWS,us-west,3yr-reserved,16,128,1.10987
AWS,us-west,3yr-reserved,32,32,1.2359399999999998
AWS,us-west,3yr-reserved,32,64,1.35612
AWS,us-west,3yr-reserved,32,128,1.603305
AWS,us-west,on-demand,1,2,0.13643
AWS,us-west,on-demand,1,4,0.14712
AWS,us-west,on-demand,1,8,0.167615
AWS,us-west,on-demand,1,16,0.2048499999999999
AWS,us-west,on-demand,2,2,0.176065
AWS,us-west,on-demand,2,4,0.18849
AWS,us-west,on-demand,2,8,0.20488
AWS,us-west,on-demand,2,16,0.2441549999999999
AWS,us-west,on-demand,2,32,0.32494
AWS,us-west,on-demand,4,4,0.26659
AWS,us-west,on-demand,4,8,0.283305
AWS,us-west,on-demand,4,16,0.32774
AWS,us-west,on-demand,4,32,0.4043599999999999
AWS,us-west,on-demand,4,64,0.563045
AWS,us-west,on-demand,8,8,0.439145
AWS,us-west,on-demand,8,16,0.4795899999999999
AWS,us-west,on-demand,8,32,0.55897
AWS,us-west,on-demand,8,64,0.73284
AWS,us-west,on-demand,8,128,1.03863
AWS,us-west,on-demand,16,16,0.8069649999999999
AWS,us-west,on-demand,16,32,0.88279
AWS,us-west,on-demand,16,64,1.04243
AWS,us-west,on-demand,16,128,1.36348
AWS,us-west,on-demand,32,32,1.5182449999999998
AWS,us-west,on-demand,32,64,1.6652550000000002
AWS,us-west,on-demand,32,128,1.998855
AWS,us-west,spot,1,2,0.098695
AWS,us-west,spot,1,4,0.102305
AWS,us-west,spot,1,8,0.11725
AWS,us-west,spot,1,16,0.142015
AWS,us-west,spot,2,2,0.125505
AWS,us-west,spot,2,4,0.132735
AWS,us-west,spot,2,8,0.147145
AWS,us-west,spot,2,16,0.1689449999999999
AWS,us-west,spot,2,32,0.2192299999999999
AWS,us-west,spot,4,4,0.186165
AWS,us-west,spot,4,8,0.205655
AWS,us-west,spot,4,16,0.2295999999999999
AWS,us-west,spot,4,32,0.27695
AWS,us-west,spot,4,64,0.402045
AWS,us-west,spot,8,8,0.303815
AWS,us-west,spot,8,16,0.352715
AWS,us-west,spot,8,32,0.407415
AWS,us-west,spot,8,64,0.506765
AWS,us-west,spot,8,128,0.74023
AWS,us-west,spot,16,16,0.577135
AWS,us-west,spot,16,32,0.643275
AWS,us-west,spot,16,64,0.7384000000000001
AWS,us-west,spot,16,128,0.959865
AWS,us-west,spot,32,32,1.06769
AWS,us-west,spot,32,64,1.181855
AWS,us-west,spot,32,128,1.402895
Azure,asia,1yr-reserved,1,2,0.139313
Azure,asia,1yr-reserved,1,4,0.149493
Azure,asia,1yr-reserved,1,8,0.170944
Azure,asia,1yr-reserved,1,16,0.210342
Azure,asia,1yr-reserved,2,2,0.181937
Azure,asia,1yr-reserved,2,4,0.191523
Azure,asia,1yr-reserved,2,8,0.211959
Azure,asia,1yr-reserved,2,16,0.250931
Azure,asia,1yr-reserved,2,32,0.333206
Azure,asia,1yr-reserved,4,4,0.269755
Azure,asia,1yr-reserved,4,8,0.291662
Azure,asia,1yr-reserved,4,16,0.33493
Azure,asia,1yr-reserved,4,32,0.420538
Azure,asia,1yr-reserved,4,64,0.576955
Azure,asia,1yr-reserved,8,8,0.452685
Azure,asia,1yr-reserved,8,16,0.500142
Azure,asia,1yr-reserved,8,32,0.577854
Azure,asia,1yr-reserved,8,64,0.748561
Azure,asia,1yr-reserved,8,128,1.067687
Azure,asia,1yr-reserved,16,16,0.826781
Azure,asia,1yr-reserved,16,32,0.908526
Azure,asia,1yr-reserved,16,64,1.081032
Azure,asia,1yr-reserved,16,128,1.415386
Azure,asia,1yr-reserved,32,32,1.556467
Azure,asia,1yr-reserved,32,64,1.718018
Azure,asia,1yr-reserved,32,128,2.041642
Azure,asia,3yr-reserved,1,2,0.126789
Azure,asia,3yr-reserved,1,4,0.136054
Azure,asia,3yr-reserved,1,8,0.155577
Azure,asia,3yr-reserved,1,16,0.191433
Azure,asia,3yr-reserved,2,2,0.165581
Azure,asia,3yr-reserved,2,4,0.174305
Azure,asia,3yr-reserved,2,8,0.192904
Azure,asia,3yr-reserved,2,16,0.228373
Azure,asia,3yr-reserved,2,32,0.303251
Azure,asia,3yr-reserved,4,4,0.245504
Azure,asia,3yr-reserved,4,8,0.265442
Azure,asia,3yr-reserved,4,16,0.304821
Azure,asia,3yr-reserved,4,32,0.382732
Azure,asia,3yr-reserved,4,64,0.525088
Azure,asia,3yr-reserved,8,8,0.411989
Azure,asia,3yr-reserved,8,16,0.45518
Azure,asia,3yr-reserved,8,32,0.525906
Azure,asia,3yr-reserved,8,64,0.681267
Azure,asia,3yr-reserved,8,128,0.971704
Azure,asia,3yr-reserved,16,16,0.752455
Azure,asia,3yr-reserved,16,32,0.826852
Azure,asia,3yr-reserved,16,64,0.983849
Azure,asia,3yr-reserved,16,128,1.288146
Azure,asia,3yr-reserved,32,32,1.416544
Azure,asia,3yr-reserved,32,64,1.563572
Azure,asia,3yr-reserved,32,128,1.858103
Azure,asia,on-demand,1,2,0.16197
Azure,asia,on-demand,1,4,0.173805
Azure,asia,on-demand,1,8,0.198745
Azure,asia,on-demand,1,16,0.24455
Azure,asia,on-demand,2,2,0.211525
Azure,asia,on-demand,2,4,0.22267
Azure,asia,on-demand,2,8,0.24643
Azure,asia,on-demand,2,16,0.29174
Azure,asia,on-demand,2,32,0.387395
Azure,asia,on-demand,4,4,0.313625
Azure,asia,on-demand,4,8,0.339095
Azure,asia,on-demand,4,16,0.3894
Azure,asia,on-demand,4,32,0.48893
Azure,asia,on-demand,4,64,0.670785
Azure,asia,on-demand,8,8,0.526305
Azure,asia,on-demand,8,16,0.58148
Azure,asia,on-demand,8,32,0.67183
Azure,asia,on-demand,8,64,0.8703
Azure,asia,on-demand,8,128,1.241325
Azure,asia,on-demand,16,16,0.96124
Azure,asia,on-demand,16,32,1.05628
Azure,asia,on-demand,16,64,1.25684
Azure,asia,on-demand,16,128,1.64557
Azure,asia,on-demand,32,32,1.809595
Azure,asia,on-demand,32,64,1.99742
Azure,asia,on-demand,32,128,2.373675
Azure,asia,spot,1,2,0.097165
Azure,asia,spot,1,4,0.104265
Azure,asia,spot,1,8,0.119226
Azure,asia,spot,1,16,0.146705
Azure,asia,spot,2,2,0.126893
Azure,asia,spot,2,4,0.133579
Azure,asia,spot,2,8,0.147832
Azure,asia,spot,2,16,0.175014
Azure,asia,spot,2,32,0.232397
Azure,asia,spot,4,4,0.188143
Azure,asia,spot,4,8,0.203422
Azure,asia,spot,4,16,0.2336
Azure,asia,spot,4,32,0.293307
Azure,asia,spot,4,64,0.402402
Azure,asia,spot,8,8,0.315729
Azure,asia,spot,8,16,0.348828
Azure,asia,spot,8,32,0.403028
Azure,asia,spot,8,64,0.52209
Azure,asia,spot,8,128,0.744666
Azure,asia,spot,16,16,0.576644
Azure,asia,spot,16,32,0.633659
Azure,asia,spot,16,64,0.753974
Azure,asia,spot,16,128,0.987172
Azure,asia,spot,32,32,1.08557
Azure,asia,spot,32,64,1.198245
Azure,asia,spot,32,128,1.423959
Azure,europe,1yr-reserved,1,2,0.128308
Azure,europe,1yr-reserved,1,4,0.141644
Azure,europe,1yr-reserved,1,8,0.158997
Azure,europe,1yr-reserved,1,16,0.196408
Azure,europe,1yr-reserved,2,2,0.168811
Azure,europe,1yr-reserved,2,4,0.176178
Azure,europe,1yr-reserved,2,8,0.19603
Azure,europe,1yr-reserved,2,16,0.235617
Azure,europe,1yr-reserved,2,32,0.312688
Azure,europe,1yr-reserved,4,4,0.252608
Azure,europe,1yr-reserved,4,8,0.278343
Azure,europe,1yr-reserved,4,16,0.314102
Azure,europe,1yr-reserved,4,32,0.386421
Azure,europe,1yr-reserved,4,64,0.543423
Azure,europe,1yr-reserved,8,8,0.427655
Azure,europe,1yr-reserved,8,16,0.466305
Azure,europe,1yr-reserved,8,32,0.544081
Azure,europe,1yr-reserved,8,64,0.694576
Azure,europe,1yr-reserved,8,128,0.997708
Azure,europe,1yr-reserved,16,16,0.771028
Azure,europe,1yr-reserved,16,32,0.85169
Azure,europe,1yr-reserved,16,64,1.006713
Azure,europe,1yr-reserved,16,128,1.298035
Azure,europe,1yr-reserved,32,32,1.444251
Azure,europe,1yr-reserved,32,64,1.609695
Azure,europe,1yr-reserved,32,128,1.900772
Azure,europe,3yr-reserved,1,2,0.116774
Azure,europe,3yr-reserved,1,4,0.128911
Azure,europe,3yr-reserved,1,8,0.144704
Azure,europe,3yr-reserved,1,16,0.178751
Azure,europe,3yr-reserved,2,2,0.153635
Azure,europe,3yr-reserved,2,4,0.16034
Azure,europe,3yr-reserved,2,8,0.178407
Azure,europe,3yr-reserved,2,16,0.214435
Azure,europe,3yr-reserved,2,32,0.284578
Azure,europe,3yr-reserved,4,4,0.229899
Azure,europe,3yr-reserved,4,8,0.253321
Azure,europe,3yr-reserved,4,16,0.285865
Azure,europe,3yr-reserved,4,32,0.351683
Azure,europe,3yr-reserved,4,64,0.494571
Azure,europe,3yr-reserved,8,8,0.38921
Azure,europe,3yr-reserved,8,16,0.424385
Azure,europe,3yr-reserved,8,32,0.495169
Azure,europe,3yr-reserved,8,64,0.632135
Azure,europe,3yr-reserved,8,128,0.908016
Azure,europe,3yr-reserved,16,16,0.701714
Azure,europe,3yr-reserved,16,32,0.775125
Azure,europe,3yr-reserved,16,64,0.916212
Azure,europe,3yr-reserved,16,128,1.181345
Azure,europe,3yr-reserved,32,32,1.314416
Azure,europe,3yr-reserved,32,64,1.464987
Azure,europe,3yr-reserved,32,128,1.729897
Azure,europe,on-demand,1,2,0.149175
Azure,europe,on-demand,1,4,0.16468
Azure,europe,on-demand,1,8,0.184855
Azure,europe,on-demand,1,16,0.22835
Azure,europe,on-demand,2,2,0.196265
Azure,europe,on-demand,2,4,0.20483
Azure,europe,on-demand,2,8,0.22791
Azure,europe,on-demand,2,16,0.273935
Azure,europe,on-demand,2,32,0.36354
Azure,europe,on-demand,4,4,0.29369
Azure,europe,on-demand,4,8,0.32361
Azure,europe,on-demand,4,16,0.365185
Azure,europe,on-demand,4,32,0.449265
Azure,europe,on-demand,4,64,0.6317999999999999
Azure,europe,on-demand,8,8,0.497205
Azure,europe,on-demand,8,16,0.5421400000000001
Azure,europe,on-demand,8,32,0.6325649999999999
Azure,europe,on-demand,8,64,0.807535
Azure,europe,on-demand,8,128,1.159965
Azure,europe,on-demand,16,16,0.89642
Azure,europe,on-demand,16,32,0.9902
Azure,europe,on-demand,16,64,1.170435
Azure,europe,on-demand,16,128,1.509135
Azure,europe,on-demand,32,32,1.67913
Azure,europe,on-demand,32,64,1.87148
Azure,europe,on-demand,32,128,2.2098950000000004
Azure,europe,spot,1,2,0.08949
Azure,europe,spot,1,4,0.098791
Azure,europe,spot,1,8,0.110894
Azure,europe,spot,1,16,0.136986
Azure,europe,spot,2,2,0.117739
Azure,europe,spot,2,4,0.122877
Azure,europe,spot,2,8,0.136722
Azure,europe,spot,2,16,0.164333
Azure,europe,spot,2,32,0.218086
Azure,europe,spot,4,4,0.176184
Azure,europe,spot,4,8,0.194132
Azure,europe,spot,4,16,0.219073
Azure,europe,spot,4,32,0.269512
