provider,vcpu,ram_gb,storage_gb,usage_hours,region,pricing_model,price_per_hour,monthly_cost,price_per_vcpu
AWS,1,2,100,540,us-west,3yr-reserved,0.0846,45.71,0.08
AWS,1,2,100,540,europe,on-demand,0.1001,54.05,0.1
AWS,1,2,100,540,europe,spot,0.0646,34.86,0.06
AWS,1,2,100,540,europe,1yr-reserved,0.0997,53.85,0.1
AWS,1,2,100,540,europe,3yr-reserved,0.0856,46.22,0.09
AWS,1,2,100,540,asia,on-demand,0.1101,59.45,0.11
AWS,1,2,100,540,asia,spot,0.0848,45.81,0.08
AWS,1,2,100,540,asia,1yr-reserved,0.1045,56.45,0.1
AWS,1,2,100,540,asia,3yr-reserved,0.0826,44.59,0.08
AWS,1,2,100,720,us-east,on-demand,0.0883,63.57,0.09
AWS,1,2,100,720,us-east,spot,0.0636,45.81,0.06
AWS,1,2,100,720,us-east,1yr-reserved,0.0814,58.57,0.08
AWS,1,2,100,720,us-east,3yr-reserved,0.0743,53.53,0.07
AWS,1,2,100,720,us-west,on-demand,0.1016,73.18,0.1
AWS,1,2,100,720,us-west,spot,0.0739,53.24,0.07
AWS,1,2,100,720,us-west,1yr-reserved,0.0969,69.8,0.1
AWS,1,2,100,720,us-west,3yr-reserved,0.0723,52.07,0.07
AWS,1,2,100,720,europe,on-demand,0.102,73.47,0.1
AWS,1,2,100,720,europe,spot,0.0692,49.82,0.07
AWS,1,2,100,720,europe,1yr-reserved,0.0985,70.9,0.1
AWS,1,2,100,720,europe,3yr-reserved,0.0784,56.43,0.08
AWS,1,2,100,720,asia,on-demand,0.107,77.03,0.11
AWS,1,2,100,720,asia,spot,0.0768,55.27,0.08
AWS,1,2,100,720,asia,1yr-reserved,0.0976,70.27,0.1
AWS,1,2,100,720,asia,3yr-reserved,0.0847,60.97,0.08
AWS,1,2,200,180,us-east,on-demand,0.1345,24.22,0.13
AWS,1,2,200,180,us-east,spot,0.1102,19.84,0.11
AWS,1,2,200,180,us-east,1yr-reserved,0.1225,22.04,0.12
AWS,1,2,200,180,us-east,3yr-reserved,0.1233,22.2,0.12
AWS,1,2,200,180,us-west,on-demand,0.1498,26.96,0.15
AWS,1,2,200,180,us-west,spot,0.0907,16.33,0.09
AWS,1,2,200,180,us-west,1yr-reserved,0.1458,26.24,0.15
AWS,1,2,200,180,us-west,3yr-reserved,0.1324,23.83,0.13
AWS,1,2,200,180,europe,on-demand,0.1618,29.13,0.16
AWS,1,2,200,180,europe,spot,0.1235,22.23,0.12
AWS,1,2,200,180,europe,1yr-reserved,0.1474,26.53,0.15
AWS,1,2,200,180,europe,3yr-reserved,0.1148,20.66,0.11
AWS,1,2,200,180,asia,on-demand,0.1654,29.77,0.17
AWS,1,2,200,180,asia,spot,0.1067,19.21,0.11
AWS,1,2,200,180,asia,1yr-reserved,0.1458,26.25,0.15
AWS,1,2,200,180,asia,3yr-reserved,0.1191,21.44,0.12
AWS,1,2,200,360,us-east,on-demand,0.1363,49.08,0.14
AWS,1,2,200,360,us-east,spot,0.1121,40.34,0.11
AWS,1,2,200,360,us-east,1yr-reserved,0.1185,42.65,0.12
AWS,1,2,200,360,us-east,3yr-reserved,0.121,43.57,0.12
AWS,1,2,200,360,us-west,on-demand,0.1484,53.41,0.15
AWS,1,2,200,360,us-west,spot,0.1028,37.01,0.1
AWS,1,2,200,360,us-west,1yr-reserved,0.1448,52.11,0.14
AWS,1,2,200,360,us-west,3yr-reserved,0.1376,49.52,0.14
AWS,1,2,200,360,europe,on-demand,0.1554,55.95,0.16
AWS,1,2,200,360,europe,spot,0.1165,41.95,0.12
AWS,1,2,200,360,europe,1yr-reserved,0.1299,46.76,0.13
AWS,1,2,200,360,europe,3yr-reserved,0.1192,42.9,0.12
AWS,1,2,200,360,asia,on-demand,0.1734,62.41,0.17
AWS,1,2,200,360,asia,spot,0.1199,43.15,0.12
AWS,1,2,200,360,asia,1yr-reserved,0.1496,53.87,0.15
AWS,1,2,200,360,asia,3yr-reserved,0.1439,51.81,0.14
AWS,1,2,200,540,us-east,on-demand,0.1319,71.22,0.13
AWS,1,2,200,540,us-east,spot,0.1,54.01,0.1
AWS,1,2,200,540,us-east,1yr-reserved,0.1238,66.86,0.12
AWS,1,2,200,540,us-east,3yr-reserved,0.1231,66.46,0.12
AWS,1,2,200,540,us-west,on-demand,0.1439,77.72,0.14
AWS,1,2,200,540,us-west,spot,0.1202,64.92,0.12
AWS,1,2,200,540,us-west,1yr-reserved,0.1234,66.66,0.12
AWS,1,2,200,540,us-west,3yr-reserved,0.1113,60.11,0.11
AWS,1,2,200,540,europe,on-demand,0.156,84.26,0.16
AWS,1,2,200,540,europe,spot,0.1151,62.15,0.12
AWS,1,2,200,540,europe,1yr-reserved,0.1319,71.24,0.13
AWS,1,2,200,540,europe,3yr-reserved,0.1132,61.14,0.11
AWS,1,2,200,540,asia,on-demand,0.1721,92.91,0.17
AWS,1,2,200,540,asia,spot,0.1079,58.25,0.11
AWS,1,2,200,540,asia,1yr-reserved,0.1511,81.57,0.15
AWS,1,2,200,540,asia,3yr-reserved,0.1393,75.22,0.14
AWS,1,2,200,720,us-east,on-demand,0.1369,98.56,0.14
AWS,1,2,200,720,us-east,spot,0.1,72.01,0.1
AWS,1,2,200,720,us-east,1yr-reserved,0.1243,89.47,0.12
AWS,1,2,200,720,us-east,3yr-reserved,0.1255,90.39,0.13
AWS,1,2,200,720,us-west,on-demand,0.1446,104.14,0.14
AWS,1,2,200,720,us-west,spot,0.1123,80.86,0.11
AWS,1,2,200,720,us-west,1yr-reserved,0.1273,91.66,0.13
AWS,1,2,200,720,us-west,3yr-reserved,0.1181,85.05,0.12
AWS,1,2,200,720,europe,on-demand,0.1572,113.19,0.16
AWS,1,2,200,720,europe,spot,0.1025,73.79,0.1
AWS,1,2,200,720,europe,1yr-reserved,0.134,96.46,0.13
AWS,1,2,200,720,europe,3yr-reserved,0.1345,96.81,0.13
AWS,1,2,200,720,asia,on-demand,0.1585,114.14,0.16
AWS,1,2,200,720,asia,spot,0.1155,83.16,0.12
AWS,1,2,200,720,asia,1yr-reserved,0.162,116.61,0.16
AWS,1,2,200,720,asia,3yr-reserved,0.1529,110.06,0.15
AWS,1,2,500,180,us-east,on-demand,0.2642,47.56,0.26
AWS,1,2,500,180,us-east,spot,0.1778,32.0,0.18
AWS,1,2,500,180,us-east,1yr-reserved,0.2369,42.65,0.24
AWS,1,2,500,180,us-east,3yr-reserved,0.251,45.18,0.25
AWS,1,2,500,180,us-west,on-demand,0.3094,55.7,0.31
AWS,1,2,500,180,us-west,spot,0.2352,42.33,0.24
AWS,1,2,500,180,us-west,1yr-reserved,0.261,46.97,0.26
AWS,1,2,500,180,us-west,3yr-reserved,0.2208,39.75,0.22
AWS,1,2,500,180,europe,on-demand,0.3194,57.5,0.32
AWS,1,2,500,180,europe,spot,0.2321,41.77,0.23
AWS,1,2,500,180,europe,1yr-reserved,0.2828,50.91,0.28
AWS,1,2,500,180,europe,3yr-reserved,0.2847,51.25,0.28
AWS,1,2,500,180,asia,on-demand,0.3363,60.53,0.34
AWS,1,2,500,180,asia,spot,0.1986,35.74,0.2
AWS,1,2,500,180,asia,1yr-reserved,0.3141,56.54,0.31
AWS,1,2,500,180,asia,3yr-reserved,0.2556,46.0,0.26
AWS,1,2,500,360,us-east,on-demand,0.2805,100.98,0.28
AWS,1,2,500,360,us-east,spot,0.2213,79.68,0.22
AWS,1,2,500,360,us-east,1yr-reserved,0.231,83.18,0.23
AWS,1,2,500,360,us-east,3yr-reserved,0.2019,72.69,0.2
AWS,1,2,500,360,us-west,on-demand,0.2864,103.09,0.29
AWS,1,2,500,360,us-west,spot,0.214,77.06,0.21
AWS,1,2,500,360,us-west,1yr-reserved,0.2562,92.25,0.26
AWS,1,2,500,360,us-west,3yr-reserved,0.2498,89.93,0.25
AWS,1,2,500,360,europe,on-demand,0.3158,113.7,0.32
AWS,1,2,500,360,europe,spot,0.1985,71.45,0.2
AWS,1,2,500,360,europe,1yr-reserved,0.284,102.23,0.28
AWS,1,2,500,360,europe,3yr-reserved,0.2361,85.01,0.24
AWS,1,2,500,360,asia,on-demand,0.3308,119.1,0.33
AWS,1,2,500,360,asia,spot,0.2632,94.75,0.26
AWS,1,2,500,360,asia,1yr-reserved,0.3157,113.65,0.32
AWS,1,2,500,360,asia,3yr-reserved,0.2406,86.63,0.24
AWS,1,2,500,540,us-east,on-demand,0.2739,147.9,0.27
AWS,1,2,500,540,us-east,spot,0.1816,98.06,0.18
AWS,1,2,500,540,us-east,1yr-reserved,0.2252,121.59,0.23
AWS,1,2,500,540,us-east,3yr-reserved,0.2413,130.28,0.24
AWS,1,2,500,540,us-west,on-demand,0.3022,163.17,0.3
AWS,1,2,500,540,us-west,spot,0.1952,105.39,0.2
AWS,1,2,500,540,us-west,1yr-reserved,0.279,150.67,0.28
AWS,1,2,500,540,us-west,3yr-reserved,0.2463,133.03,0.25
AWS,1,2,500,540,europe,on-demand,0.3069,165.72,0.31
AWS,1,2,500,540,europe,spot,0.1854,100.14,0.19
AWS,1,2,500,540,europe,1yr-reserved,0.2558,138.13,0.26
AWS,1,2,500,540,europe,3yr-reserved,0.2777,149.98,0.28
AWS,1,2,500,540,asia,on-demand,0.3446,186.07,0.34
AWS,1,2,500,540,asia,spot,0.2373,128.13,0.24
AWS,1,2,500,540,asia,1yr-reserved,0.3151,170.14,0.32
AWS,1,2,500,540,asia,3yr-reserved,0.2759,149.01,0.28
AWS,1,2,500,720,us-east,on-demand,0.2663,191.73,0.27
AWS,1,2,500,720,us-east,spot,0.1726,124.31,0.17
AWS,1,2,500,720,us-east,1yr-reserved,0.2389,171.99,0.24
AWS,1,2,500,720,us-east,3yr-reserved,0.2489,179.24,0.25
AWS,1,2,500,720,us-west,on-demand,0.3069,220.97,0.31
AWS,1,2,500,720,us-west,spot,0.234,168.46,0.23
AWS,1,2,500,720,us-west,1yr-reserved,0.2867,206.42,0.29
AWS,1,2,500,720,us-west,3yr-reserved,0.2242,161.43,0.22
AWS,1,2,500,720,europe,on-demand,0.3014,216.99,0.3
AWS,1,2,500,720,europe,spot,0.1917,138.03,0.19
AWS,1,2,500,720,europe,1yr-reserved,0.2913,209.75,0.29
AWS,1,2,500,720,europe,3yr-reserved,0.2778,200.03,0.28
AWS,1,2,500,720,asia,on-demand,0.3281,236.23,0.33
AWS,1,2,500,720,asia,spot,0.2427,174.74,0.24
AWS,1,2,500,720,asia,1yr-reserved,0.2783,200.41,0.28
AWS,1,2,500,720,asia,3yr-reserved,0.301,216.69,0.3
AWS,1,4,20,180,us-east,on-demand,0.0667,12.01,0.07
AWS,1,4,20,180,us-east,spot,0.0522,9.39,0.05
AWS,1,4,20,180,us-east,1yr-reserved,0.061,10.98,0.06
AWS,1,4,20,180,us-east,3yr-reserved,0.0578,10.41,0.06
AWS,1,4,20,180,us-west,on-demand,0.0662,11.92,0.07
AWS,1,4,20,180,us-west,spot,0.0527,9.49,0.05
AWS,1,4,20,180,us-west,1yr-reserved,0.0605,10.88,0.06
AWS,1,4,20,180,us-west,3yr-reserved,0.0632,11.38,0.06
AWS,1,4,20,180,europe,on-demand,0.0743,13.38,0.07
AWS,1,4,20,180,europe,spot,0.0567,10.2,0.06
AWS,1,4,20,180,europe,1yr-reserved,0.0683,12.3,0.07
AWS,1,4,20,180,europe,3yr-reserved,0.0551,9.93,0.06
AWS,1,4,20,180,asia,on-demand,0.0795,14.31,0.08
AWS,1,4,20,180,asia,spot,0.048,8.64,0.05
AWS,1,4,20,180,asia,1yr-reserved,0.074,13.32,0.07
AWS,1,4,20,180,asia,3yr-reserved,0.069,12.42,0.07
AWS,1,4,20,360,us-east,on-demand,0.0626,22.54,0.06
AWS,1,4,20,360,us-east,spot,0.0499,17.98,0.05
AWS,1,4,20,360,us-east,1yr-reserved,0.0573,20.64,0.06
AWS,1,4,20,360,us-east,3yr-reserved,0.0498,17.92,0.05
AWS,1,4,20,360,us-west,on-demand,0.0716,25.78,0.07
AWS,1,4,20,360,us-west,spot,0.045,16.21,0.05
AWS,1,4,20,360,us-west,1yr-reserved,0.057,20.51,0.06
AWS,1,4,20,360,us-west,3yr-reserved,0.0521,18.74,0.05
AWS,1,4,20,360,europe,on-demand,0.0709,25.52,0.07
AWS,1,4,20,360,europe,spot,0.0567,20.4,0.06
AWS,1,4,20,360,europe,1yr-reserved,0.0702,25.26,0.07
AWS,1,4,20,360,europe,3yr-reserved,0.0553,19.92,0.06
AWS,1,4,20,360,asia,on-demand,0.0784,28.21,0.08
AWS,1,4,20,360,asia,spot,0.0529,19.05,0.05
AWS,1,4,20,360,asia,1yr-reserved,0.0754,27.13,0.08
AWS,1,4,20,360,asia,3yr-reserved,0.0636,22.9,0.06
AWS,1,4,20,540,us-east,on-demand,0.0672,36.3,0.07
AWS,1,4,20,540,us-east,spot,0.0401,21.66,0.04
AWS,1,4,20,540,us-east,1yr-reserved,0.0627,33.85,0.06
AWS,1,4,20,540,us-east,3yr-reserved,0.048,25.92,0.05
AWS,1,4,20,540,us-west,on-demand,0.0728,39.3,0.07
AWS,1,4,20,540,us-west,spot,0.0456,24.62,0.05
AWS,1,4,20,540,us-west,1yr-reserved,0.0579,31.28,0.06
AWS,1,4,20,540,us-west,3yr-reserved,0.0557,30.08,0.06
AWS,1,4,20,540,europe,on-demand,0.0738,39.84,0.07
AWS,1,4,20,540,europe,spot,0.048,25.94,0.05
AWS,1,4,20,540,europe,1yr-reserved,0.0659,35.6,0.07
AWS,1,4,20,540,europe,3yr-reserved,0.059,31.85,0.06
AWS,1,4,20,540,asia,on-demand,0.0764,41.25,0.08
AWS,1,4,20,540,asia,spot,0.0559,30.18,0.06
AWS,1,4,20,540,asia,1yr-reserved,0.0662,35.75,0.07
AWS,1,4,20,540,asia,3yr-reserved,0.0665,35.91,0.07
AWS,1,4,20,720,us-east,on-demand,0.0612,44.06,0.06
AWS,1,4,20,720,us-east,spot,0.0515,37.05,0.05
AWS,1,4,20,720,us-east,1yr-reserved,0.0582,41.87,0.06
AWS,1,4,20,720,us-east,3yr-reserved,0.0556,40.01,0.06
AWS,1,4,20,720,us-west,on-demand,0.0712,51.29,0.07
AWS,1,4,20,720,us-west,spot,0.0517,37.24,0.05
AWS,1,4,20,720,us-west,1yr-reserved,0.0608,43.8,0.06
AWS,1,4,20,720,us-west,3yr-reserved,0.0502,36.14,0.05
AWS,1,4,20,720,europe,on-demand,0.0733,52.79,0.07
AWS,1,4,20,720,europe,spot,0.0483,34.77,0.05
AWS,1,4,20,720,europe,1yr-reserved,0.0625,44.99,0.06
AWS,1,4,20,720,europe,3yr-reserved,0.0643,46.26,0.06
AWS,1,4,20,720,asia,on-demand,0.079,56.86,0.08
AWS,1,4,20,720,asia,spot,0.0512,36.9,0.05
AWS,1,4,20,720,asia,1yr-reserved,0.0669,48.17,0.07
AWS,1,4,20,720,asia,3yr-reserved,0.0615,44.25,0.06
AWS,1,4,50,180,us-east,on-demand,0.0774,13.94,0.08
AWS,1,4,50,180,us-east,spot,0.0518,9.32,0.05
AWS,1,4,50,180,us-east,1yr-reserved,0.0654,11.77,0.07
AWS,1,4,50,180,us-east,3yr-reserved,0.0624,11.23,0.06
AWS,1,4,50,180,us-west,on-demand,0.0882,15.87,0.09
AWS,1,4,50,180,us-west,spot,0.0629,11.33,0.06
AWS,1,4,50,180,us-west,1yr-reserved,0.0813,14.63,0.08
AWS,1,4,50,180,us-west,3yr-reserved,0.071,12.77,0.07
AWS,1,4,50,180,europe,on-demand,0.0858,15.45,0.09
AWS,1,4,50,180,europe,spot,0.0628,11.3,0.06
AWS,1,4,50,180,europe,1yr-reserved,0.0714,12.85,0.07
AWS,1,4,50,180,europe,3yr-reserved,0.0673,12.12,0.07
AWS,1,4,50,180,asia,on-demand,0.0932,16.77,0.09
AWS,1,4,50,180,asia,spot,0.0679,12.23,0.07
AWS,1,4,50,180,asia,1yr-reserved,0.0865,15.57,0.09
AWS,1,4,50,180,asia,3yr-reserved,0.0758,13.64,0.08
AWS,1,4,50,360,us-east,on-demand,0.0777,27.99,0.08
AWS,1,4,50,360,us-east,spot,0.0504,18.14,0.05
AWS,1,4,50,360,us-east,1yr-reserved,0.0698,25.12,0.07
